University,CGPA,GRE,TOEFL,IELTS,Gap_year,Ugrad_Major,Work_Experience,Degree,Paper,Funding,Ugrad,Decision
"University of California, San Diego",4.0,336,118,0,0,ME,Full-time Job,MS,4,Full,Tsinghua,Accepted
"University of California, San Diego",3.85,340,118,0,0,ME,No,PhD,1,Full,Tsinghua,Accepted
"University of California, San Diego",4.0,325,117,0,1,CSE,Full-time Job,PhD,3,Partial,Tsinghua,Accepted
"University of California, San Diego",3.95,335,115,0,0,CSE,Full-time Job,PhD,5,None,Tsinghua,Accepted
"University of California, San Diego",3.96,325,115,0,0,EEE,No,PhD,1,Partial,IIT Delhi,Accepted
"University of California, San Diego",3.86,340,117,0,0,CSE,Full-time Job,PhD,1,Full,Tsinghua,Accepted
"University of California, San Diego",3.86,332,113,0,1,ME,Internship,PhD,4,Partial,Tsinghua,Accepted
University of Washington,3.98,330,115,0,0,EEE,Internship,MS,1,Full,KAIST,Accepted
University of Washington,3.92,337,115,0,0,ME,Full-time Job,PhD,5,Partial,NTU,Accepted
University of Washington,3.95,335,116,0,0,EEE,Internship,MS,1,Full,BUET,Accepted
University of Washington,3.98,332,114,0,0,EEE,Internship,MS,1,Full,IIT Delhi,Accepted
University of Washington,3.91,340,112,0,0,ME,Internship,MS,3,None,IIT Delhi,Accepted
University of Washington,3.98,325,120,0,0,ECE,Internship,PhD,2,Full,UIUC,Accepted
University of Washington,3.86,331,110,0,0,ME,Internship,PhD,1,None,UIUC,Accepted
University of Washington,3.88,333,113,0,0,EEE,Full-time Job,MS,5,None,BUET,Accepted
University of Washington,3.96,331,112,0,1,EEE,Full-time Job,MS,4,Full,KAIST,Accepted
University of Washington,3.9,332,120,0,0,CSE,Full-time Job,PhD,1,None,BUET,Accepted
Georgia Institute of Technology,3.98,335,117,0,1,EEE,No,MS,2,Partial,Tsinghua,Accepted
Georgia Institute of Technology,3.9,331,114,0,0,EEE,No,PhD,5,Partial,Tsinghua,Accepted
Georgia Institute of Technology,3.93,339,113,0,0,ECE,Full-time Job,PhD,5,Partial,UIUC,Accepted
Georgia Institute of Technology,3.94,339,117,0,0,EEE,Full-time Job,MS,5,None,NTU,Accepted
Georgia Institute of Technology,3.96,327,116,0,0,CSE,Full-time Job,PhD,5,None,Tsinghua,Accepted
Georgia Institute of Technology,3.9,336,113,0,0,EEE,No,PhD,1,None,IIT Delhi,Accepted
Georgia Institute of Technology,3.99,327,111,0,0,ME,Full-time Job,MS,3,None,NTU,Accepted
Georgia Institute of Technology,3.93,333,110,0,0,ECE,Full-time Job,PhD,5,None,KAIST,Accepted
Georgia Institute of Technology,4.0,327,112,0,0,EEE,Full-time Job,PhD,3,None,IIT Delhi,Accepted
Georgia Institute of Technology,3.97,339,115,0,0,ME,Full-time Job,PhD,1,Full,Tsinghua,Accepted
University of Michigan,3.87,330,111,0,0,EEE,No,PhD,3,Partial,Tsinghua,Accepted
University of Michigan,3.92,328,112,0,1,CSE,Full-time Job,MS,1,Partial,Tsinghua,Accepted
University of Michigan,3.92,339,119,0,0,EEE,No,MS,1,Full,Tsinghua,Accepted
University of Michigan,3.92,335,112,0,1,EEE,Internship,PhD,3,Full,KAIST,Accepted
University of Michigan,3.9,327,111,0,0,ME,Full-time Job,PhD,2,Partial,Tsinghua,Accepted
University of Michigan,3.95,327,112,0,0,ECE,Internship,PhD,2,Partial,KAIST,Accepted
University of Michigan,3.93,338,113,0,0,EEE,Full-time Job,MS,1,Partial,KAIST,Accepted
University of Michigan,3.88,333,113,0,0,ME,Full-time Job,MS,4,Full,Tsinghua,Accepted
University of Michigan,3.96,333,113,0,1,ECE,Internship,MS,2,Full,IIT Delhi,Accepted
University of Michigan,3.92,334,112,0,0,CSE,Internship,MS,4,Partial,BUET,Accepted
Duke University,3.97,326,119,0,0,ECE,No,MS,2,None,UIUC,Accepted
Duke University,3.86,333,115,0,0,CSE,Internship,MS,2,Full,UIUC,Accepted
Duke University,3.99,337,110,0,0,ECE,Internship,MS,4,Full,IIT Delhi,Accepted
Duke University,3.96,332,120,0,0,EEE,Full-time Job,MS,3,None,KAIST,Accepted
Duke University,3.91,340,118,0,1,CSE,Internship,MS,5,Partial,NTU,Accepted
Duke University,3.98,335,112,0,0,ECE,Full-time Job,MS,2,None,NTU,Accepted
Duke University,3.92,340,111,0,0,CSE,No,MS,1,None,NTU,Accepted
Duke University,3.95,334,111,0,0,ME,No,PhD,3,Partial,NTU,Accepted
Duke University,3.92,333,116,0,0,CSE,Full-time Job,MS,3,None,Tsinghua,Accepted
Duke University,3.95,336,119,0,1,CSE,Internship,PhD,5,Partial,Tsinghua,Accepted
Brown University,3.98,338,110,0,1,ECE,Internship,MS,3,Partial,Tsinghua,Accepted
Brown University,4.0,330,118,0,0,ME,Internship,MS,4,Full,UIUC,Accepted
Brown University,3.9,337,116,0,0,EEE,Full-time Job,PhD,5,None,BUET,Accepted
Brown University,3.94,328,117,0,0,EEE,Internship,PhD,5,Full,BUET,Accepted
Brown University,3.88,331,119,0,0,CSE,No,MS,1,None,BUET,Accepted
Brown University,3.92,333,111,0,1,ME,Internship,PhD,1,Full,UIUC,Accepted
Brown University,3.87,325,120,0,1,CSE,Full-time Job,PhD,2,Partial,KAIST,Accepted
Brown University,3.92,327,116,0,0,EEE,Full-time Job,MS,5,Partial,UIUC,Accepted
Brown University,3.9,339,119,0,0,ECE,Full-time Job,MS,5,None,Tsinghua,Accepted
Brown University,3.88,336,111,0,1,ME,No,PhD,2,Partial,UIUC,Accepted
Johns Hopkins University,3.89,337,115,0,0,ECE,Internship,PhD,3,None,UIUC,Accepted
Johns Hopkins University,3.97,334,111,0,0,CSE,Full-time Job,MS,1,Full,NTU,Accepted
Johns Hopkins University,3.95,329,110,0,0,ME,Internship,PhD,3,Partial,NTU,Accepted
Johns Hopkins University,3.9,340,119,0,0,CSE,Full-time Job,PhD,2,None,Tsinghua,Accepted
Johns Hopkins University,4.0,336,119,0,0,EEE,Full-time Job,PhD,1,Partial,BUET,Accepted
Johns Hopkins University,3.99,337,113,0,0,EEE,Internship,MS,1,Partial,Tsinghua,Accepted
Johns Hopkins University,3.86,329,110,0,0,CSE,Full-time Job,PhD,1,Full,UIUC,Accepted
Johns Hopkins University,3.96,331,112,0,0,CSE,Internship,PhD,2,Full,KAIST,Accepted
Johns Hopkins University,3.92,340,112,0,0,ME,Full-time Job,PhD,5,None,BUET,Accepted
Johns Hopkins University,3.88,329,116,0,0,CSE,Internship,PhD,4,Partial,KAIST,Accepted

